post_id,url,author,published_date,first_seen_at,last_checked_at,status,case_id,verification,media,reason
2096147245775331419,https://x.com/lepadphone/status/2096147245775331419,lepadphone,2026-09-05,2026-09-07,2026-09-07,accepted,interactive-peacock,x-post-read,source-preview-inspected,Original result and public author prompt verified.
2096147248551694472,https://x.com/lepadphone/status/2096147248551694472,lepadphone,2026-09-05,2026-09-07,2026-09-07,accepted,interactive-peacock,x-post-read,prompt-text,Original author reply containing the public prompt.
2096048421543272893,https://x.com/zhengli/status/2096048421543272893,zhengli,2026-09-05,2026-09-07,2026-09-07,accepted,playroom-threejs,x-post-read,source-preview-inspected,Original result and public author prompt verified.
2096188653626446159,https://x.com/zhengli/status/2096188653626446159,zhengli,2026-09-05,2026-09-07,2026-09-07,accepted,playroom-threejs,x-post-read,prompt-text,Original author reply containing the public prompt.
2096125193580113957,https://x.com/Conor_D_Dart/status/2096125193580113957,Conor_D_Dart,2026-09-05,2026-09-07,2026-09-07,accepted,formula-one-blender,x-post-read,source-preview-inspected,Original result and public prompt verified in the same post.
2095659170661904804,https://x.com/DeryaTR_/status/2095659170661904804,DeryaTR_,2026-09-04,2026-09-07,2026-09-07,accepted,t-cell-explainer,x-post-read,source-preview-inspected,Original result and public prompt verified in the same post.
2096321091148947887,https://x.com/omarsar0/status/2096321091148947887,omarsar0,2026-09-06,2026-09-07,2026-09-07,accepted,grok-bot-keyboard,x-post-read,source-preview-inspected,Original polished result verified in the author’s thread.
2096288397811679718,https://x.com/omarsar0/status/2096288397811679718,omarsar0,2026-09-06,2026-09-07,2026-09-07,accepted,grok-bot-keyboard,x-post-read,prompt-text,Original prototype and its short public prompt.
2096330184525856915,https://x.com/omarsar0/status/2096330184525856915,omarsar0,2026-09-06,2026-09-07,2026-09-07,accepted,grok-bot-keyboard,x-post-read,prompt-text,Original author reply containing the complete upgrade prompt.
2096280244663775423,https://x.com/DilumSanjaya/status/2096280244663775423,DilumSanjaya,2026-09-06,2026-09-07,2026-09-07,accepted,v8-engine-visualizer,x-post-read,source-preview-inspected,Original result and public prompt verified in the same post.
2095863849635422679,https://x.com/jaimintf/status/2095863849635422679,jaimintf,2026-09-04,2026-09-07,2026-09-07,accepted,astral-liquid-glass,x-post-read,source-preview-inspected,Original design result verified in the author’s thread.
2095865097830936773,https://x.com/jaimintf/status/2095865097830936773,jaimintf,2026-09-04,2026-09-07,2026-09-07,accepted,astral-liquid-glass,x-post-read,prompt-text,Original author reply containing the complete public prompt.
2095612137582526615,https://x.com/realYunfanYe/status/2095612137582526615,realYunfanYe,2026-09-04,2026-09-07,2026-09-07,accepted,zillow-blender-walkthrough,x-post-read,source-video-inspected,Original walkthrough result and author-described caveats verified.
2095664943421067611,https://x.com/realYunfanYe/status/2095664943421067611,realYunfanYe,2026-09-04,2026-09-07,2026-09-07,accepted,zillow-blender-walkthrough,x-post-read,prompt-text,Original author reply containing the complete public prompt and workflow disclosure.
2096019868713984080,https://x.com/aniketjart/status/2096019868713984080,aniketjart,2026-09-05,2026-09-07,2026-09-07,accepted,breakwater-mecha-game,x-post-read,source-video-inspected,Original game result and public prompt verified in the same post.
2096028593415655666,https://x.com/aniketjart/status/2096028593415655666,aniketjart,2026-09-05,2026-09-07,2026-09-07,accepted,breakwater-mecha-game,x-post-read,playable-link,Original author reply linking the playable build.
2096337879173591171,https://x.com/zeuuss_01/status/2096337879173591171,zeuuss_01,2026-09-06,2026-09-07,2026-09-07,accepted,beach-crab-adventure,x-post-read,source-video-inspected,Original game result and author-reported generation details verified.
2096337882931712076,https://x.com/zeuuss_01/status/2096337882931712076,zeuuss_01,2026-09-06,2026-09-07,2026-09-07,accepted,beach-crab-adventure,x-post-read,prompt-text,Original author reply containing the complete nine-part public prompt.
2096342806948102335,https://x.com/zeuuss_01/status/2096342806948102335,zeuuss_01,2026-09-06,2026-09-07,2026-09-07,accepted,beach-crab-adventure,x-post-read,playable-link,Original author reply linking the playable build.
2096629506047955327,https://x.com/tripoai/status/2096629506047955327,tripoai,2026-09-07,2026-09-07,2026-09-07,accepted,windhaven-unity-adventure,x-post-read,source-video-inspected,Original Unity game showcase with Astra and Tripo P2 roles stated.
2096629507096481992,https://x.com/tripoai/status/2096629507096481992,tripoai,2026-09-07,2026-09-07,2026-09-07,accepted,windhaven-unity-adventure,x-post-read,prompt-text,Original author reply containing the complete public prompt.
2096263046918197609,https://x.com/LexnLin/status/2096263046918197609,LexnLin,2026-09-05,2026-09-07,2026-09-07,accepted,verdant-realtime-forest,x-post-read,source-video-inspected,"Original forest result, implementation stack and scene-density figures verified."
2096339853025964380,https://x.com/LexnLin/status/2096339853025964380,LexnLin,2026-09-06,2026-09-07,2026-09-07,accepted,verdant-realtime-forest,x-post-read,prompt-text,Original author follow-up containing the complete public prompt.
2095873015007592679,https://x.com/Mayz1169/status/2095873015007592679,Mayz1169,2026-09-04,2026-09-07,2026-09-07,accepted,runaway-witch-flight,x-post-read,source-video-inspected,Original animation result with Astra's prompt-authoring role stated.
2095873204351070296,https://x.com/Mayz1169/status/2095873204351070296,Mayz1169,2026-09-04,2026-09-07,2026-09-07,accepted,runaway-witch-flight,x-post-read,prompt-text,Original author reply containing the complete animation prompt.
2096352482746147085,https://x.com/Alpha10six/status/2096352482746147085,Alpha10six,2026-09-06,2026-09-07,2026-09-07,accepted,ipad-robot-control-station,x-post-read,source-video-inspected,Original iPad robot-control result and full public prompt verified.
2096353582769414417,https://x.com/Alpha10six/status/2096353582769414417,Alpha10six,2026-09-06,2026-09-07,2026-09-07,accepted,ipad-robot-control-station,x-post-read,performance-disclosure,Original author follow-up reporting the resulting teleoperation latency.
2096335588727349434,https://x.com/doomdave/status/2096335588727349434,doomdave,2026-09-06,2026-09-07,2026-09-07,accepted,cinematic-blender-dragon,x-post-read,source-video-inspected,Original final Blender animation and eight-hour workflow disclosure verified.
2096336699647504570,https://x.com/doomdave/status/2096336699647504570,doomdave,2026-09-06,2026-09-07,2026-09-07,accepted,cinematic-blender-dragon,x-post-read,prompt-text,Original author reply containing the complete production prompt.
2096335930156347870,https://x.com/doomdave/status/2096335930156347870,doomdave,2026-09-06,2026-09-07,2026-09-07,accepted,cinematic-blender-dragon,x-post-read,reference-image,Original author reply showing the visual reference used for reconstruction.
2096336463541723172,https://x.com/doomdave/status/2096336463541723172,doomdave,2026-09-06,2026-09-07,2026-09-07,accepted,cinematic-blender-dragon,x-post-read,iteration-video,Original author reply showing the first iteration for comparison.
2096119414315778504,https://x.com/karatademada/status/2096119414315778504,karatademada,2026-09-05,2026-09-07,2026-09-07,accepted,memory-portrait,x-post-read,source-preview-inspected,Original generated portrait and complete one-line public prompt verified.
2096629184512610370,https://x.com/Ror_Fly/status/2096629184512610370,Ror_Fly,2026-09-06,2026-09-07,2026-09-07,accepted,astra-mind-midjourney,x-post-read,source-preview-inspected,Original Midjourney results and the complete Astra-authored prompt verified.
2096470693089292710,https://x.com/Mayz1169/status/2096470693089292710,Mayz1169,2026-09-06,2026-09-07,2026-09-07,accepted,luminous-breeze-chase,x-post-read,source-video-inspected,"Original animation result with Astra, Seedance and Renoise roles stated."
2096471151900045445,https://x.com/Mayz1169/status/2096471151900045445,Mayz1169,2026-09-06,2026-09-07,2026-09-07,accepted,luminous-breeze-chase,x-post-read,prompt-text,Original author reply containing the complete character-sheet prompt.
2096471302949548242,https://x.com/Mayz1169/status/2096471302949548242,Mayz1169,2026-09-06,2026-09-07,2026-09-07,accepted,luminous-breeze-chase,x-post-read,prompt-text,Original author reply containing the complete animation prompt.
2095595901784052075,https://x.com/MatthewBerman/status/2095595901784052075,MatthewBerman,2026-09-04,2026-09-07,2026-09-07,accepted,kyoto-walking-tour,x-post-read,source-video-inspected,Original browser-control demo and complete public prompt verified.
2093958836751327322,https://x.com/GaricaRosen6779/status/2093958836751327322,GaricaRosen6779,2026-08-30,2026-09-07,2026-09-07,accepted,explorable-sci-fi-spaceship,x-post-read,source-video-inspected,Original explorable spaceship result and complete one-line public prompt verified.
2096567918859354155,https://x.com/DeRonin_/status/2096567918859354155,DeRonin_,2026-09-06,2026-09-07,2026-09-07,accepted,microduck-robot-prototype,x-post-read,source-video-inspected,"Original robot-prototyper demo, public prompt and five-prompt workflow disclosure verified."
2096566097365602565,https://x.com/adilinthewild/status/2096566097365602565,adilinthewild,2026-09-06,2026-09-07,2026-09-07,accepted,higgsfield-reel-production,x-post-read,source-video-inspected,Original final reel with Astra and Higgsfield MCP roles stated.
2096566099903201737,https://x.com/adilinthewild/status/2096566099903201737,adilinthewild,2026-09-06,2026-09-07,2026-09-07,accepted,higgsfield-reel-production,x-post-read,prompt-text,Original author reply containing the complete public prompt and attached-input disclosure.
2095896717225087132,https://x.com/jaimintf/status/2095896717225087132,jaimintf,2026-09-04,2026-09-07,2026-09-07,accepted,astro-liquid-glass-welcome,x-post-read,source-video-inspected,Original Astra result and same-prompt comparison verified.
2095902644925768099,https://x.com/jaimintf/status/2095902644925768099,jaimintf,2026-09-04,2026-09-07,2026-09-07,accepted,astro-liquid-glass-welcome,x-post-read,prompt-text,"Original author reply containing the complete prompt, tools and runtime."
2096244208533455049,https://x.com/ItsmeAjayKV/status/2096244208533455049,ItsmeAjayKV,2026-09-05,2026-09-07,2026-09-07,accepted,komorebi-river-run,x-post-read,source-video-inspected,"Original game result, complete prompt, stack and author caveat verified."
2095967568825582044,https://x.com/superalesha/status/2095967568825582044,superalesha,2026-09-05,2026-09-07,2026-09-07,accepted,voidrunner-combat-racer,x-post-read,source-video-inspected,"Original game result, complete public prompt and runtime disclosure verified."
2096013278325387402,https://x.com/superalesha/status/2096013278325387402,superalesha,2026-09-05,2026-09-07,2026-09-07,accepted,voidrunner-combat-racer,x-post-read,playable-link,Original author follow-up linking the playable build.
2096056285896536086,https://x.com/AiBattle_/status/2096056285896536086,AiBattle_,2026-09-05,2026-09-07,2026-09-07,accepted,sonic-godot-vertical-slice,x-post-read,source-video-inspected,"Original repeated-run result, complete public prompt and usage disclosure verified."
2096028790925488452,https://x.com/LLMJunky/status/2096028790925488452,LLMJunky,2026-09-05,2026-09-07,2026-09-07,accepted,rocket-league-threejs,x-post-read,source-video-inspected,Original one-prompt game result and author-recorded first reaction verified.
